,What is the [PROPERTY] of (the) [W]?,Whose [W]?,Where is the [W]?,How much /How many [W]?,What is the [W] a part/member of?,What/Who is a part/member of [W]?,What/Who is (the) [W]?,What kind of [W]?,When is the [W]?
What is the [PROPERTY] of (the) [W]?,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whose [W]?,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where is the [W]?,13.0,3.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
How much /How many [W]?,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
What is the [W] a part/member of?,6.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
What/Who is a part/member of [W]?,12.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0
What/Who is (the) [W]?,6.0,6.0,0.0,0.0,1.0,2.0,43.0,0.0,0.0
What kind of [W]?,22.0,7.0,7.0,2.0,2.0,2.0,17.0,149.0,0.0
When is the [W]?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
