sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",subtypes,A2CK4EBWLXYOV1,,What/Who is a part/member of subtypes?,16 H and 9 N,,How much /How many subtypes?,16 H and 9 N
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,,What/Who is (the) complaints?,about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,veracity,What is the [PROPERTY] of (the) events?,alleged,,What kind of events?,alleged
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,A2CK4EBWLXYOV1,,What/Who is (the) age?,between eight and seventeen,,How much /How many age?,between eight and seventeen years
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) counts?,indecent assault,,What/Who is (the) counts?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,A2CK4EBWLXYOV1,,What kind of counts?,of indecent assault,,What/Who is (the) counts?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,AZC7J87AH18DW,,What/Who is (the) indecent?,assault,,What kind of indecent?,assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,victim,What is the [PROPERTY] of (the) assault?,three females between eight and seventeen years of age,,Whose assault?,three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,Whose assault?,Hall,performer,What is the [PROPERTY] of (the) assault?,Hall
Jenny cognitively assesses the snake in her presence .,presence,A2CK4EBWLXYOV1,,Whose presence?,Jenny,,What/Who is (the) presence?,Jenny
Jenny cognitively assesses the snake in her presence .,presence,AZC7J87AH18DW,,Whose presence?,Jenny,,What/Who is (the) presence?,Jenny
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,A2CK4EBWLXYOV1,content,What is the [PROPERTY] of (the) information?,on the whereabouts of our family members,,What/Who is (the) information?,whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) information?,the whereabouts of our family members,,What/Who is (the) information?,whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) information?,the whereabouts of our family members,,Whose information?,our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,AZC7J87AH18DW,,Whose family?,one weeping woman at Juanda,,What/Who is a part/member of family?,one weeping woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,AZC7J87AH18DW,,Whose family?,our,,What kind of family?,our
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,AZC7J87AH18DW,,What is the members a part/member of?,our family,,What kind of members?,our family
